Run,Pareto front and fitness values,,,
1,"{'num_inference_steps': 42, 'guidance_scale': 19.362927233139825, 'negative_prompt': 44, 'positive_prompt': 9408, 'guidance_rescale': 0.9598305824160865, 'num_images_per_prompt': 4, 'seed': 243}","{'num_inference_steps': 42, 'guidance_scale': 19.362927233139825, 'negative_prompt': 44, 'positive_prompt': 9408, 'guidance_rescale': 0.9598305824160865, 'num_images_per_prompt': 4, 'seed': 404}","{'num_inference_steps': 37, 'guidance_scale': 19.362927233139825, 'negative_prompt': 373, 'positive_prompt': 9408, 'guidance_rescale': 0.9598305824160865, 'num_images_per_prompt': 4, 'seed': 45}","{'num_inference_steps': 42, 'guidance_scale': 13.20009796030439, 'negative_prompt': 44, 'positive_prompt': 4707, 'guidance_rescale': 0.9598305824160865, 'num_images_per_prompt': 4, 'seed': 243}"
1,"(0.7100000000000001, 6328.4755859375)","(0.57, 6319.8037109375)","(0.5270588235294117, 5626.6435546875)","(0.6041176470588235, 6321.0146484375)"
2,"{'num_inference_steps': 80, 'guidance_scale': 7.273698774880604, 'negative_prompt': 30, 'positive_prompt': 7473, 'guidance_rescale': 0.4974229052606767, 'num_images_per_prompt': 4, 'seed': 303}",,,
2,"(0.7641666666666667, 11551.5185546875)",,,
3,"{'num_inference_steps': 46, 'guidance_scale': 10.116395030573795, 'negative_prompt': 45, 'positive_prompt': 6784, 'guidance_rescale': 0.7094970717756537, 'num_images_per_prompt': 4, 'seed': 294}","{'num_inference_steps': 46, 'guidance_scale': 10.116395030573795, 'negative_prompt': 45, 'positive_prompt': 6784, 'guidance_rescale': 0.49529726955591014, 'num_images_per_prompt': 4, 'seed': 294}",,
3,"(0.5905555555555556, 6884.140625)","(0.7271428571428571, 6910.6796875)",,
4,"{'num_inference_steps': 25, 'guidance_scale': 18.416035739837305, 'negative_prompt': 336, 'positive_prompt': 8070, 'guidance_rescale': 0.04218453405428457, 'num_images_per_prompt': 4, 'seed': 362}","{'num_inference_steps': 61, 'guidance_scale': 18.416035739837305, 'negative_prompt': 281, 'positive_prompt': 14450, 'guidance_rescale': 0.04218453405428457, 'num_images_per_prompt': 4, 'seed': 362}","{'num_inference_steps': 72, 'guidance_scale': 18.416035739837305, 'negative_prompt': 297, 'positive_prompt': 14450, 'guidance_rescale': 0.020726272750527297, 'num_images_per_prompt': 4, 'seed': 362}","{'num_inference_steps': 61, 'guidance_scale': 13.582561473307486, 'negative_prompt': 336, 'positive_prompt': 14450, 'guidance_rescale': 0.04218453405428457, 'num_images_per_prompt': 4, 'seed': 232}"
4,"(0.5069230769230769, 3995.268798828125)","(0.7426666666666669, 8941.0)","(0.7577777777777777, 10466.240234375)","(0.5852380952380951, 8930.9228515625)"
5,"{'num_inference_steps': 82, 'guidance_scale': 18.507251462577887, 'negative_prompt': 495, 'positive_prompt': 8418, 'guidance_rescale': 0.8496134119739523, 'num_images_per_prompt': 4, 'seed': 446}","{'num_inference_steps': 82, 'guidance_scale': 18.507251462577887, 'negative_prompt': 495, 'positive_prompt': 8418, 'guidance_rescale': 0.8496134119739523, 'num_images_per_prompt': 4, 'seed': 446}",,
5,"(0.6835714285714286, 11829.330078125)","(0.6835714285714286, 11829.330078125)",,
